Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
Toys,False,double-blades,http://uae.souq.com/ae-en/one-piece-roronoa-zoro-action-figure-multiple-sculpt-model-sb0014-10619233/i/,ONE PIECE Roronoa Zoro action figure multiple sculpt model[SB0014],123,,123,(100% Positive Rating)
Toys,False,DubKart,http://uae.souq.com/ae-en/mini-electronic-coins-and-bills-vault-with-voice-command-black-7855191/i/,Mini Electronic Coins and Bills Vault with Voice Command - Black,54.99,,54.99,(93% Positive Rating)
Toys,False,Elegance-Fashion,http://uae.souq.com/ae-en/money-safe-mini-electronic-atm-bank-9559990/i/,money safe Mini Electronic atm bank,65,,65,(90% Positive Rating)
Toys,False,solelectronics,http://uae.souq.com/ae-en/despicable-me-2-minions-hand-induction-helicopter-9826454/i/,Despicable Me 2 Minions hand induction helicopter,40,,40,(81% Positive Rating)
Toys,False,Elegance-Fashion,http://uae.souq.com/ae-en/mini-electronic-coins-and-bills-vault-with-voice-command-pink-7855195/i/,Mini Electronic Coins and Bills Vault with Voice Command - Pink,38.81,,38.81,(90% Positive Rating)
Toys,True,shanidsamf,http://uae.souq.com/ae-en/big-kitchen-cook-set-for-kids-pretend-play-toy-6255719/i/,Big Kitchen Cook Set For Kids Pretend Play Toy,53,97.00 AED,150.00 ,(0% Positive Rating)
Toys,False,RightClickDubai,http://uae.souq.com/ae-en/3001atm-money-safe-mini-electronic-atm-bank-machine-toy-10115353/i/,3001ATM money safe Mini Electronic atm bank machine toy,40,,40,(100% Positive Rating)
Musical Instruments Parts,False,IKEA-STS,http://uae.souq.com/ae-en/aluminum-silver-capo-for-guitar-7323994/i/,aluminum silver capo for guitar,49,,49,(45% Positive Rating)
Musical Instruments Parts,False,denver007,http://uae.souq.com/ae-en/lucky-star-6-string-capo-8365494/i/,LUCKY STAR 6 STRING CAPO,33.99,,33.99,(79% Positive Rating)
Musical Instruments Parts,True,Akm-music,http://uae.souq.com/ae-en/joyo-i-plug-guitar-amplifier-with-headphone-output-i-plug-11484313/i/,Joyo I-Plug Guitar Amplifier with Headphone Output - I-PLUG,89.6,49.40 AED,139.00 ,(91% Positive Rating)
Musical Instruments Parts,False,denver007,http://uae.souq.com/ae-en/joyo-mini-lcd-clip-tuner-for-chromatic-guitar-bass-tuner-violin-ukulele-8069500/i/,JOYO Mini LCD Clip Tuner for Chromatic Guitar Bass Tuner Violin Ukulele,35,,35,(79% Positive Rating)
Musical Instruments Parts,False,E-winner,http://uae.souq.com/ae-en/microphone-stand-broadcast-studio-mic-suspension-boom-scissor-arm-stand-11743166/i/,Microphone Stand Broadcast Studio Mic Suspension Boom Scissor Arm Stand,41.99,,41.99,(89% Positive Rating)
Musical Instruments Parts,False,E-Jackie,http://uae.souq.com/ae-en/i59s-sliver-quick-change-clamp-key-capo-for-electric-guitar-7329889/i/,[I59S]Sliver Quick Change Clamp Key Capo For Electric Guitar,50,,50,(88% Positive Rating)
Musical Instruments Parts,False,NGT-UAE,http://uae.souq.com/ae-en/mabuti-microphone-foam-windscreen-black-11819914/i/,"Mabuti Microphone Foam Windscreen, Black",29,,29,(92% Positive Rating)
Musical Instruments Parts,False,Popularelectronics,http://uae.souq.com/ae-en/meomy-guitar-floor-stand-7938498/i/,MEOMY GUITAR FLOOR STAND,49,,49,(0% Positive Rating)
Musical Instruments Parts,False,JapanRMR,http://uae.souq.com/ae-en/music-sheet-stand-black-11661604/i/,Music Sheet Stand-Black,72,,72,(100% Positive Rating)
Musical Instruments Parts,True,JapanRMR,http://uae.souq.com/ae-en/electric-and-acoustic-guitar-stand-11508801/i/,Electric and Acoustic Guitar Stand,35,25.00 AED,60.00 ,(100% Positive Rating)
Musical Instruments Parts,False,Popularelectronics,http://uae.souq.com/ae-en/bespeco-kanga15eco-guitar-stand-7391785/i/,Bespeco KANGA15ECO Guitar Stand,42,,42,(0% Positive Rating)
Musical Instruments Parts,False,MediaCast,http://uae.souq.com/ae-en/ik-multimedia-irig-2-guitar-interface-adaptor-11489550/i/,Ik Multimedia iRig 2 Guitar Interface Adaptor,189,,189,(100% Positive Rating)
Casual & Dress Shoes,True,Converse-UAE,http://uae.souq.com/ae-en/converse-multi-color-fashion-sneakers-for-women-11620040/i/,Converse Multi Color Fashion Sneakers For Women,299,150.00 AED,449.00 ,(91% Positive Rating)
Musical Instruments Parts,False,Sahira-M81BDG,http://uae.souq.com/ae-en/guitar-bag-for-acoustic-guitar-41-inch-6847569/i/,Guitar Bag For Acoustic Guitar 41 inch,65,,65,(83% Positive Rating)
Casual & Dress Shoes,True,dod_uae,http://uae.souq.com/ae-en/call-it-spring-black-flat-for-women-10541026/i/,Call It Spring Black Flat For Women,49,100.00 AED,149.00 ,(92% Positive Rating)
Casual & Dress Shoes,True,CallItSpring,http://uae.souq.com/ae-en/call-it-spring-multi-color-fashion-sneakers-for-women-10276757/i/,Call It Spring Multi Color Fashion Sneakers For Women,149,80.00 AED,229.00 ,(84% Positive Rating)
Casual & Dress Shoes,False,aerosoftInt,http://uae.souq.com/ae-en/aerosoft-grey-slip-on-for-women-11338767/i/,Aerosoft Grey Slip On For Women,40,,40,(93% Positive Rating)
Casual & Dress Shoes,False,Freddie-Gallery,http://uae.souq.com/ae-en/coolboy-pink-fashion-sneakers-for-unisex-11361532/i/,Coolboy Pink Fashion Sneakers For Unisex,140,,140,(83% Positive Rating)
Casual & Dress Shoes,True,VANS-UAE,http://uae.souq.com/ae-en/vans-white-fashion-sneakers-for-men-11608662/i/,Vans White Fashion Sneakers For Men,179,100.00 AED,279.00 ,(93% Positive Rating)
Casual & Dress Shoes,True,JackJones-UAE,http://uae.souq.com/ae-en/jack-jones-grey-fashion-sneakers-for-men-11622097/i/,Jack & Jones Grey Fashion Sneakers For Men,129,60.00 AED,189.00 ,(90% Positive Rating)
Casual & Dress Shoes,True,VANS-UAE,http://uae.souq.com/ae-en/vans-multi-color-slip-on-for-women-11608715/i/,Vans Multi Color Slip On For Women,179,70.00 AED,249.00 ,(93% Positive Rating)
Casual & Dress Shoes,True,Guess-UAE,http://uae.souq.com/ae-en/guess-black-grey-fashion-sneakers-for-men-11572022/i/,Guess Black / Grey Fashion Sneakers For Men,249,124.00 AED,373.00 ,(90% Positive Rating)
Casual & Dress Shoes,True,Converse-UAE,http://uae.souq.com/ae-en/converse-pink-fashion-sneakers-for-women-11620046/i/,Converse Pink Fashion Sneakers For Women,249,80.00 AED,329.00 ,(91% Positive Rating)
